Price,Close,High,Low,Open,Volume
Ticker,AXP,AXP,AXP,AXP,AXP
Date,,,,,
2000-02-08,33.72539138793945,34.20385665427671,33.67366321982313,33.828842313841776,5268594
2000-02-09,32.39344787597656,33.699531534144185,32.0701589579107,33.699531534144185,7182109
2000-02-10,31.966711044311523,33.00123135176318,31.785670531540635,32.40638163394533,5986290
2000-02-11,31.75979232788086,32.70379466460248,31.436506228051968,32.07014774116268,6520964
2000-02-14,31.863265991210938,32.6779511545848,31.75981231822455,31.75981231822455,5418371
2000-02-15,32.92362594604492,33.02707683644703,31.824447385992443,31.91496759138534,4668114
2000-02-16,31.830921173095703,32.4322360578491,31.475302894520564,32.38051059892552,7616703
2000-02-17,30.608903884887695,32.17361785070621,29.561452813392922,31.914987756127303,14201074
2000-02-18,28.604511260986328,30.608895283291343,28.009661669584055,30.595964593745915,15618645
2000-02-22,28.78554344177246,29.018312017517445,28.475188045943547,28.86313296702079,13781561
2000-02-23,28.57865333557129,29.10884688834056,28.281228475773624,28.759696554048904,10902205
2000-02-24,26.897563934326172,28.66918009761577,26.66479518853648,28.475208847957397,19860733
2000-02-25,25.81130599975586,27.72516994963174,25.656126891194294,27.13032030703295,16576260
2000-02-28,27.44068145751953,28.035531222348435,26.173392357637784,26.173392357637784,16359648
2000-02-29,27.763961791992188,28.17777090097121,27.207906985311368,28.138976127931606,8560951
2000-03-01,28.035512924194336,28.436391206985043,27.350143343151597,28.34587100252629,7788758
2000-03-02,27.6346492767334,28.436403483276248,27.3889499270377,28.345883239738964,8707643
2000-03-03,27.621715545654297,28.63037421431927,27.156180983590854,28.501056503312412,8775163
2000-03-06,26.74238395690918,27.673453501410197,26.61306889268217,27.62172801675265,7299669
2000-03-07,26.147525787353516,26.897554543939776,25.68199116346643,26.794100902428518,11151034
2000-03-08,25.397497177124023,26.19925140650342,25.048346883488037,26.19925140650342,11361133
2000-03-09,25.397497177124023,25.733716779933623,24.72505797150482,25.630265842991644,12839027
2000-03-10,26.212186813354492,26.85876475365145,25.203530528616465,25.475091315821718,12432880
2000-03-13,26.186309814453125,27.182034812374983,25.319897081294,25.604391097199237,10198218
2000-03-14,26.57427406311035,27.388959237037422,26.457889693930404,26.845834886030612,9381812
2000-03-15,27.49239158630371,27.776882883405683,26.315623522768604,26.63890957950524,11197304
2000-03-16,29.742483139038086,30.324399299702367,28.242425858692805,28.345879484146796,17287102
2000-03-17,29.716615676879883,30.414918777493952,29.186422331490988,29.483849780118327,11811150
2000-03-20,29.380395889282227,30.414918490587922,29.16056068186873,30.001109450065645,8829658
2000-03-21,30.182161331176758,30.82873651134431,28.656242282881905,29.38040702570271,11703530
2000-03-22,30.570098876953125,30.570098876953125,29.664893848645004,30.337332951739906,6373929
2000-03-23,32.27705764770508,32.27705764770508,30.052838521213186,30.570098531544787,11305267
2000-03-24,32.19947814941406,32.54862846545214,31.82446374489829,32.25120362120385,9741003
2000-03-27,31.139080047607422,32.27705074490342,30.854586020701213,32.17359984702721,7037816
2000-03-28,31.552871704101562,32.04427000392137,30.815776959535015,30.958022554405566,8031418
2000-03-29,31.37186050415039,31.992574295450208,30.880461747892323,31.47531145011752,6100080
2000-03-30,30.8287353515625,31.578764155440084,30.595969377525154,31.34599547623714,6803724
2000-03-31,30.8158016204834,31.139090519100293,30.311472237120398,30.725281378110346,6340340
2000-04-03,32.17361068725586,32.52276096668252,30.91925257318152,30.983911435012924,8983548
2000-04-04,30.414918899536133,32.65206847553747,29.522641960403185,32.173603287655446,14593511
2000-04-05,29.89765167236328,30.466639700107855,29.651952419708316,30.208009762101884,8735748
2000-04-06,29.173492431640625,29.807136702656354,28.97952129663129,29.794206015033005,9322175
2000-04-07,28.77263069152832,29.251096121927837,28.68211042403377,29.251096121927837,6879127
2000-04-10,29.62610626220703,30.001120676437353,28.59158327378448,28.77262648748698,8168514
